"","quarter","state","temp_mean","temp_sd"
"1","15/01","Alabama",8.28785802469134,5.03276568588104
"2","15/01","Alaska",-8.46507115664382,2.46101000775078
"3","15/01","Arizona",9.61480942068651,2.8226078340178
"4","15/01","Arkansas",4.96680745267194,4.10830282253399
"5","15/01","California",11.9545905505894,2.08333030944996
"6","15/01","Colorado",-0.00683468495434658,3.01712772964374
"7","15/01","Connecticut",-4.73903985507246,4.20746650451526
"8","15/01","Delaware",0.205166666666667,3.69626880561105
"9","15/01","District of Columbia",0.47,3.58939061680392
"10","15/01","Florida",17.6955610952833,3.48982095887475
"11","15/01","Georgia",9.25704911144961,4.7450952050902
"12","15/01","Hawaii",19.9838784067086,0.523574845934998
"13","15/01","Idaho",1.49792888280894,3.37579523930952
"14","15/01","Illinois",-2.99485786975416,5.47808939993704
"15","15/01","Indiana",-2.73418697244784,5.0766117969353
"16","15/01","Iowa",-4.35471816153215,6.47899797073549
"17","15/01","Kansas",2.12449472096531,4.91552222632602
"18","15/01","Kentucky",1.16259689922481,5.20803254852857
"19","15/01","Louisiana",10.8496356837607,4.25437812022461
"20","15/01","Maine",-9.8472773812099,4.55725689012792
"21","15/01","Maryland",-0.333054435483871,3.88775495744984
"22","15/01","Massachusetts",-5.13328410008071,3.99419761616706
"23","15/01","Michigan",-7.97155618198641,5.63162003541043
"24","15/01","Minnesota",-8.57869073222635,7.04627644687293
"25","15/01","Mississippi",8.51412612475218,4.8282454459943
"26","15/01","Missouri",0.76688929136762,5.39151219172322
"27","15/01","Montana",-0.48388254992698,3.84319356207162
"28","15/01","Nebraska",-0.200312241521917,5.24207680340671
"29","15/01","Nevada",5.23307446411733,2.51961754353921
"30","15/01","New Hampshire",-8.80466073781291,4.42279284958676
"31","15/01","New Jersey",-2.18221764011079,3.89911470796388
"32","15/01","New Mexico",4.29302443588158,3.24895632492127
"33","15/01","New York",-7.47529405630866,4.47726527603919
"34","15/01","North Carolina",5.25084821100302,4.59150548205061
"35","15/01","North Dakota",-7.28248624620297,6.96602685190437
"36","15/01","Ohio",-3.58738255721176,5.22923458937748
"37","15/01","Oklahoma",5.70043102335786,4.36451560108108
"38","15/01","Oregon",5.97731646287335,1.79172548764199
"39","15/01","Pennsylvania",-4.51543174355088,4.26891425019641
"40","15/01","Rhode Island",-3.80407407407408,3.84965932969821
"41","15/01","South Carolina",7.85534332451758,4.60716109675675
"42","15/01","South Dakota",-2.63983385408917,5.61714191390239
"43","15/01","Tennessee",3.47983873566582,5.15058496404036
"44","15/01","Texas",9.80669820933972,3.40784494741173
"45","15/01","Utah",2.20444902667172,2.89576260070117
"46","15/01","Vermont",-10.8457723310355,4.8156654864032
"47","15/01","Virginia",1.91218183733671,4.26000360257035
"48","15/01","Washington",4.89757374120773,2.24625311449201
"49","15/01","West Virginia",-1.33944959493094,4.86210747692101
"50","15/01","Wisconsin",-7.46535032868366,6.40256501644329
"51","15/01","Wyoming",-1.47580414506966,3.33867027887792
"52","15/02","Alabama",22.2549893666204,3.72519620866974
"53","15/02","Alaska",7.4214806796197,6.15889156901081
"54","15/02","Arizona",17.8510466229677,5.81009255125757
"55","15/02","Arkansas",20.9833559896893,4.48046622434753
"56","15/02","California",14.2353204143642,1.40125281059764
"57","15/02","Colorado",10.3201052435809,6.03634361115112
"58","15/02","Connecticut",14.7111111111111,5.5307221166458
"59","15/02","Delaware",18.5666666666667,5.4364535391497
"60","15/02","District of Columbia",19.7116666666667,5.65077944476099
"61","15/02","Florida",25.9432826735467,1.62576983435164
"62","15/02","Georgia",22.4615479917902,3.52336761379804
"63","15/02","Hawaii",21.9977765180146,0.818876838151401
"64","15/02","Idaho",11.6213963022304,6.19960375230491
"65","15/02","Illinois",17.156199721631,4.91552656487459
"66","15/02","Indiana",17.2286129032258,5.12673453608326
"67","15/02","Iowa",15.6919079847233,5.19659780192969
"68","15/02","Kansas",18.1885874859498,5.61614191657072
"69","15/02","Kentucky",19.1353532311062,4.69071232586724
"70","15/02","Louisiana",23.9704425837321,3.10709037989407
"71","15/02","Maine",10.887759221171,5.98255627074441
"72","15/02","Maryland",18.1488279857397,5.40197731084108
"73","15/02","Massachusetts",13.8027820083436,5.41611598458675
"74","15/02","Michigan",12.2626923179119,5.53758944770434
"75","15/02","Minnesota",12.524238663535,5.60164807178054
"76","15/02","Mississippi",22.7642684129235,3.45912325879462
"77","15/02","Missouri",18.595323355278,4.72419892169238
"78","15/02","Montana",10.7877194182304,6.13755238225375
"79","15/02","Nebraska",15.0045402933938,5.63220580413319
"80","15/02","Nevada",13.242760030749,6.41613988454324
"81","15/02","New Hampshire",12.1942811839324,6.06750662387874
"82","15/02","New Jersey",16.8777777777777,5.51408701293013
"83","15/02","New Mexico",14.7669200279046,5.38044855702085
"84","15/02","New York",13.6897077678092,5.93069654925288
"85","15/02","North Carolina",20.1918888178683,4.76163498248109
"86","15/02","North Dakota",12.285685635424,5.89177267935517
"87","15/02","Ohio",16.7416117075625,5.38846431900672
"88","15/02","Oklahoma",20.3086560953213,4.97632914071215
"89","15/02","Oregon",12.3498975383905,5.38923219175938
"90","15/02","Pennsylvania",15.6757608684508,5.59796585173783
"91","15/02","Rhode Island",14.0759259259259,5.06355768811864
"92","15/02","South Carolina",22.0875585267901,4.37662794427582
"93","15/02","South Dakota",13.3515412719668,5.74057300501691
"94","15/02","Tennessee",19.875306022409,4.44843765936766
"95","15/02","Texas",22.6420221001221,3.38351722562741
"96","15/02","Utah",11.3988710131313,6.30212156055045
"97","15/02","Vermont",11.7216554206028,6.47718592412025
"98","15/02","Virginia",18.7568032141483,5.12102476625813
"99","15/02","Washington",12.737104561348,5.25672664422517
